method,policy,fold_id,condition,evidence_role,heldout_pair_f1,overall_pair_f1,seen_pair_f1,presence_f1,presence_ap,oracle_stage2_f1,aspect_threshold,runner_up_threshold,selected_review_aspects,two_sentiment_instances
frozen_qwen_candidate_pair,review_filtered,l2-a08,N,structural_invariance_not_independent_replication,0.6305418719211823,0.4974712643678161,0.4909573185435254,0.6435643564356436,0.696262750702633,0.852589641434263,0.999999940395,0.99,2492,0
frozen_qwen_candidate_pair,review_filtered,l2-a09,D,structural_invariance_not_independent_replication,0.375,0.499431947284708,0.5008040431886056,0.375,0.2352844135167047,0.9230769230769231,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a09,N,structural_invariance_not_independent_replication,0.5161290322580645,0.5009124087591241,0.5008040431886056,0.5161290322580645,0.37627872762675707,0.8461538461538461,0.999999940395,0.99,2526,0
frozen_qwen_candidate_pair,review_filtered,l2-a10,D,structural_invariance_not_independent_replication,0.24778761061946902,0.499431947284708,0.5060634328358209,0.2831858407079646,0.15778153488170707,0.8888888888888888,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a10,N,structural_invariance_not_independent_replication,0.4406779661016949,0.505175983436853,0.5060634328358209,0.4745762711864407,0.3029972075907512,0.9444444444444444,0.999999940395,0.99,2489,0
frozen_qwen_candidate_pair,review_filtered,l2-a11,D,structural_invariance_not_independent_replication,0.28865979381443296,0.499431947284708,0.5091514143094842,0.35051546391752575,0.22084517875831536,0.8235294117647058,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a11,N,structural_invariance_not_independent_replication,0.2981366459627329,0.5013736263736264,0.5091514143094842,0.36024844720496896,0.240948592149438,0.8431372549019608,0.999999940395,0.99,2510,0
frozen_qwen_candidate_pair,review_filtered,l2-a12,D,structural_invariance_not_independent_replication,0.622478386167147,0.499431947284708,0.48889985199802666,0.6685878962536023,0.5107513412886132,0.921875,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a12,N,structural_invariance_not_independent_replication,0.6857142857142857,0.503089951934081,0.48889985199802666,0.7238095238095238,0.5794377391866824,0.9296875,0.999999940395,0.99,2511,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a01,D,structural_invariance_not_independent_replication,0.5619047619047619,0.499431947284708,0.4963015986638034,0.6666666666666666,0.5153268672959153,0.8395061728395061,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a01,N,structural_invariance_not_independent_replication,0.5759162303664922,0.49977179370150615,0.4963015986638034,0.6387434554973822,0.5037707578345116,0.8765432098765432,0.999999940395,0.99,2524,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a02,D,structural_invariance_not_independent_replication,0.3118279569892473,0.499431947284708,0.5077105575326216,0.41935483870967744,0.2619698741765792,0.813953488372093,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a02,N,structural_invariance_not_independent_replication,0.0,0.497443049744305,0.5077105575326216,0.0,0.24892285801965602,0.7906976744186046,0.999999940395,0.99,2444,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a03,D,structural_invariance_not_independent_replication,0.5290697674418605,0.499431947284708,0.4903532205402196,0.562015503875969,0.44967440813594434,0.8977556109725686,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a03,N,structural_invariance_not_independent_replication,0.3973941368078176,0.47602309816721067,0.4903532205402196,0.40716612377850164,0.5102819101984671,0.8902743142144638,0.999999940395,0.99,2125,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a04,D,structural_invariance_not_independent_replication,0.125,0.499431947284708,0.5195116112042135,0.15178571428571427,0.08076417738783469,0.8181818181818182,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a04,N,structural_invariance_not_independent_replication,0.09090909090909091,0.5150438284766643,0.5195116112042135,0.09090909090909091,0.09268217490590448,0.7727272727272727,0.999999940395,0.99,2363,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a05,D,structural_invariance_not_independent_replication,0.6844106463878327,0.499431947284708,0.4876752054132431,0.714828897338403,0.5744770193222606,0.8983050847457628,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a05,N,structural_invariance_not_independent_replication,0.6666666666666666,0.4962025316455696,0.4876752054132431,0.7053140096618358,0.7114428208857713,0.8813559322033898,0.999999940395,0.99,2487,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a06,D,structural_invariance_not_independent_replication,0.4150453955901427,0.499431947284708,0.5173553719008265,0.4540682414698163,0.5525181009314329,0.7894179894179895,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a06,N,structural_invariance_not_independent_replication,0.29252782193958665,0.4841512092040385,0.5173553719008265,0.3064516129032258,0.48347491623496086,0.8084656084656084,0.999999940395,0.99,2401,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a07,D,structural_invariance_not_independent_replication,0.616600790513834,0.499431947284708,0.47501372872048325,0.6393659180977543,0.5310963453695433,0.8988095238095238,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a07,N,structural_invariance_not_independent_replication,0.6357039187227866,0.5005772338951743,0.47501372872048325,0.6521106259097526,0.5787631672731153,0.8958333333333334,0.999999940395,0.99,2473,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a08,D,structural_invariance_not_independent_replication,0.6377952755905512,0.499431947284708,0.4909573185435254,0.6798418972332015,0.5899697301141433,0.900398406374502,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a08,N,structural_invariance_not_independent_replication,0.6305418719211823,0.4974712643678161,0.4909573185435254,0.6435643564356436,0.696262750702633,0.852589641434263,0.999999940395,0.99,2492,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a09,D,structural_invariance_not_independent_replication,0.375,0.499431947284708,0.5008040431886056,0.375,0.2352844135167047,0.9230769230769231,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a09,N,structural_invariance_not_independent_replication,0.5161290322580645,0.5009124087591241,0.5008040431886056,0.5161290322580645,0.37627872762675707,0.8461538461538461,0.999999940395,0.99,2526,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a10,D,structural_invariance_not_independent_replication,0.24778761061946902,0.499431947284708,0.5060634328358209,0.2831858407079646,0.15778153488170707,0.8888888888888888,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a10,N,structural_invariance_not_independent_replication,0.4406779661016949,0.505175983436853,0.5060634328358209,0.4745762711864407,0.3029972075907512,0.9444444444444444,0.999999940395,0.99,2489,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a11,D,structural_invariance_not_independent_replication,0.28865979381443296,0.499431947284708,0.5091514143094842,0.35051546391752575,0.22084517875831536,0.8235294117647058,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a11,N,structural_invariance_not_independent_replication,0.2981366459627329,0.5013736263736264,0.5091514143094842,0.36024844720496896,0.240948592149438,0.8431372549019608,0.999999940395,0.99,2510,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a12,D,structural_invariance_not_independent_replication,0.622478386167147,0.499431947284708,0.48889985199802666,0.6685878962536023,0.5107513412886132,0.921875,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,label_masked_all_reviews,l2-a12,N,structural_invariance_not_independent_replication,0.6857142857142857,0.503089951934081,0.48889985199802666,0.7238095238095238,0.5794377391866824,0.9296875,0.999999940395,0.99,2511,0
dcwt_kernel_ridge,review_filtered,l2-a01,D,paired_local_policy_replay,0.08111239860950174,0.1793531525645214,0.1868025656796415,0.18944844124700239,0.11603575563881093,0.43902439024390244,0.18483627498355054,0.359478952059,9986,400
dcwt_kernel_ridge,review_filtered,l2-a01,N,paired_local_policy_replay,0.07725321888412018,0.17851051733939738,0.1868025656796415,0.17555555555555555,0.11374454992781256,0.45121951219512196,0.18483627498355054,0.359478952059,10052,403
dcwt_mean_seen_weight,review_filtered,l2-a01,D,paired_local_policy_replay,0.06148590947907771,0.15251720880010797,0.16032827727705723,0.14235500878734622,0.10487620360296554,0.43902439024390244,0.0004006207587172736,0.359478952059,12528,432
dcwt_mean_seen_weight,review_filtered,l2-a01,N,paired_local_policy_replay,0.0631938514090521,0.152652179781347,0.16032827727705723,0.14235500878734622,0.10487620360296554,0.45121951219512196,0.0004006207587172736,0.359478952059,12528,432
dcwt_nearest_description_weight,review_filtered,l2-a01,D,paired_local_policy_replay,0.0765661252900232,0.20216537319153013,0.21347258485639686,0.17462165308498254,0.08726285019359174,0.43209876543209874,0.19979435921655989,0.904789888768,8543,36
dcwt_nearest_description_weight,review_filtered,l2-a01,N,paired_local_policy_replay,0.07888631090487239,0.20235699913768324,0.21347258485639686,0.17462165308498254,0.08726285019359174,0.4444444444444444,0.19979435921655989,0.904789888768,8543,36
dcwt_cosine_barycentric_weight,review_filtered,l2-a01,D,paired_local_policy_replay,0.06593406593406594,0.1694431937565661,0.17868236063429785,0.15283018867924528,0.12737135377710335,0.43902439024390244,0.05232736523226007,0.359478952059,11055,413
dcwt_cosine_barycentric_weight,review_filtered,l2-a01,N,paired_local_policy_replay,0.06613047363717604,0.16925035572530517,0.17868236063429785,0.14917127071823205,0.12559815097230306,0.45121951219512196,0.05232736523226007,0.359478952059,11081,414
dcwt_kernel_ridge,review_filtered,l2-a02,D,paired_local_policy_replay,0.12488174077578051,0.20825979527003177,0.21683698296836984,0.15939278937381404,0.11120908816599101,0.7861271676300579,0.22718752375895887,0.901157036301,9434,40
dcwt_kernel_ridge,review_filtered,l2-a02,N,paired_local_policy_replay,0.08600182982616651,0.2042575650950035,0.21683698296836984,0.15808823529411764,0.10763219266800386,0.5433526011560693,0.22718752375895887,0.901157036301,9468,42
dcwt_mean_seen_weight,review_filtered,l2-a02,D,paired_local_policy_replay,0.11704834605597965,0.1762436268430481,0.18147731533558306,0.15140845070422534,0.10661727339535887,0.770949720670391,0.00016031864334672204,0.377165747848,12160,496
dcwt_mean_seen_weight,review_filtered,l2-a02,N,paired_local_policy_replay,0.08333333333333333,0.1735235338708566,0.18147731533558306,0.15140845070422534,0.10661727339535887,0.5444444444444444,0.00016031864334672204,0.377165747848,12160,493
dcwt_nearest_description_weight,review_filtered,l2-a02,D,paired_local_policy_replay,0.13392857142857142,0.21203855246408437,0.21896654127895465,0.17002237136465326,0.1087382519266203,0.7861271676300579,0.24060369488380623,0.901157036301,9101,39
dcwt_nearest_description_weight,review_filtered,l2-a02,N,paired_local_policy_replay,0.09131403118040089,0.20854545454545453,0.21896654127895465,0.17002237136465326,0.1087382519266203,0.5433526011560693,0.24060369488380623,0.901157036301,9101,41
dcwt_cosine_barycentric_weight,review_filtered,l2-a02,D,paired_local_policy_replay,0.12942366026289182,0.20334402972470866,0.21008016216714273,0.1641337386018237,0.11628080220419841,0.7861271676300579,0.17548817456583046,0.901157036301,9942,42
dcwt_cosine_barycentric_weight,review_filtered,l2-a02,N,paired_local_policy_replay,0.08557213930348259,0.19952774498229045,0.21008016216714273,0.16183816183816183,0.11599714635664338,0.5433526011560693,0.17548817456583046,0.901157036301,9956,44
dcwt_kernel_ridge,review_filtered,l2-a03,D,paired_local_policy_replay,0.26705653021442494,0.22629969418960244,0.22070626003210272,0.4756335282651072,0.4114506454465062,0.6184538653366584,0.41147015671877135,0.942758699296,6638,6
dcwt_kernel_ridge,review_filtered,l2-a03,N,paired_local_policy_replay,0.2612011439466158,0.2256891495601173,0.22070626003210272,0.4637404580152672,0.403708750678835,0.6201743462017435,0.41147015671877135,0.942758699296,6660,7
