method_id,evidence_role,fold_id,condition,score_sha256,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_pair_precision,heldout_pair_recall,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,maximum_sentiments_per_selected_aspect,aspect_call_rate,selected_aspect_instances,test_contract_count
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a09,D,0e0d3934397badc98e4c7d862e019ed7518b6cd0be91f0bcfaf2e3f0c36b2cdf,0.6896551724137931,0.598019801980198,0.5973572675143356,0.625,0.7692307692307693,0.6896551724137931,0.5565006939230541,0.9230769230769231,1,0.17202775149795016,2182,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a09,D,e03a6105ab13f54ec571017010cdeba5f0e137d5793dbba9476b31ae6570eecc,0.28,0.5614375910636231,0.5648967551622419,0.1891891891891892,0.5384615384615384,0.3673469387755102,0.4951195572176758,0.6153846153846154,2,0.17533900977609587,2224,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a09,N,5ebe419ee01c02db04090426e613d21b7e709c05318b0d10369d53bf96f4b545,0.72,0.5981169474727452,0.5973572675143356,0.75,0.6923076923076923,0.72,0.7079056237879766,0.9230769230769231,1,0.1717123935666982,2178,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a09,N,b6a98acf04c92467bd839c3ba2ca837077a9977d7bfdf89f404e5d78dc3cac50,0.5161290322580645,0.5645279336423518,0.5648967551622419,0.4444444444444444,0.6153846153846154,0.5806451612903226,0.48070212308017185,0.6923076923076923,2,0.173919899085462,2206,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a09,D,da97a50bb7b3d043e1f7f6dc3e94f5673397b0b431bda1d933ad16b15f32dbcd,0.4186046511627907,0.5945814010251403,0.5964479526393686,0.3,0.6923076923076923,0.4186046511627907,0.48175961942662887,0.9230769230769231,1,0.17652160201829076,2239,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a09,N,0a0bab83b81433628cb2c0dc3df491df6b6f8bac2cf3174644846de1443b6785,0.5714285714285714,0.5968176254589963,0.596992851860981,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.5081120388985116,0.9230769230769231,1,0.17557552822453484,2227,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a09,D,52e857716466188923cafe2869921893077f7f9109f00711b7fecccf2565a6f9,0.42857142857142855,0.5967741935483871,0.5985185185185186,0.3103448275862069,0.6923076923076923,0.42857142857142855,0.4774563522101596,0.9230769230769231,1,0.1761274046042258,2234,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a09,N,0641b059d2a958af0808b88529aa8c5620f3c0b1d8c183f1608287b9eaba8358,0.5714285714285714,0.5983325159391859,0.5985185185185186,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.5087324609952704,0.9230769230769231,1,0.1750236518448439,2220,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a10,D,6b1e133507fee9b45b3119d74dda83a95fefb072bdd6b57f847664a2e2d39893,0.2978723404255319,0.5410010649627263,0.5459682677678765,0.18421052631578946,0.7777777777777778,0.3225806451612903,0.20030506123341074,0.9444444444444444,2,0.21184169031851152,2687,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a10,D,db17f2ca8c2fcdc687a4cbe6f9068b0f80e98a0a49208b395f5352275f8e602b,0.2803738317757009,0.5559322033898305,0.5632612478250062,0.16853932584269662,0.8333333333333334,0.3018867924528302,0.5940609988362313,0.9444444444444444,2,0.1770734783979817,2246,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a10,N,bfacf68b937c222ada0636df10b755fb343beb55aca52ee2c21d9c6d1e9aea56,0.5769230769230769,0.546314205888674,0.5459682677678765,0.4411764705882353,0.8333333333333334,0.6274509803921569,0.5294912021656207,0.9444444444444444,2,0.2085304320403658,2645,0
